JOB_ID,PLATFORM,DEPARTURE_DATE,DEPARTURE_AIRPORT,DESTINATION_AIRPORT,MARKETING_AIRLINE,FLIGHT_CODE,CABIN_CLASS,DEPARTURE_TIME,ARRIVAL_TIME,TRANSIT,TRANSIT_INFO,FLIGHT_DURATION,RATES,DEPARTURE-DATE
1,BOOKING.COM,2023-09-01,SIN,CGK,SINGAPORE AIRLINES,SQ950,FIRST CLASS,06:20:00,07:05:00,0,NONE,1H 45M,26369230.77,
1,BOOKING.COM,2023-09-01,SIN,CGK,SINGAPORE AIRLINES,SQ968,FIRST CLASS,21:55:00,22:40:00,0,NONE,1H 45M,26369230.77,
1,BOOKING.COM,2023-09-01,SIN,CGK,SINGAPORE AIRLINES,SQ968,FIRST CLASS,21:55:00,22:40:00,0,NONE,1H 45M,26369230.77,
1,BOOKING.COM,2023-09-01,SIN,CGK,SINGAPORE AIRLINES,SQ950,FIRST CLASS,06:20:00,07:05:00,0,NONE,1H 45M,26369230.77,
1,BOOKING.COM,,CGK,JFK,EMIRATES AIRLINE,"EK359, EK201",ECONOMY,00:40:00,14:25:00,1,"CGK, DXB, JFK",24H 45M,21569230.77,2023-08-09
1,BOOKING.COM,,CGK,JFK,EMIRATES AIRLINE,"EK357, EK203",ECONOMY,17:40:00,08:50:00,1,"CGK, DXB, JFK",26H 10M,21461538.46,2023-08-09
1,BOOKING.COM,,CGK,JFK,EMIRATES AIRLINE,"QZ200, MH9052, MH9327",ECONOMY,05:00:00,22:30:00,2,"CGK, KUL, DOH, JFK",28H 30M,18553846.15,2023-08-09
1,BOOKING.COM,,CGK,JFK,EMIRATES AIRLINE,"MH726, MH9052, MH9327",ECONOMY,04:15:00,22:30:00,2,"CGK, KUL, DOH, JFK",29H 15M,18984615.38,2023-08-09
1,BOOKING.COM,,CGK,JFK,EMIRATES AIRLINE,"TK57, TK17, UA6634",ECONOMY,21:00:00,22:00:00,2,"CGK, IST, YYZ, JFK",36H 00M,16553846.15,2023-08-09
1,BOOKING.COM,,CGK,JFK,EMIRATES AIRLINE,"AK354, EK343, EK201",ECONOMY,21:15:00,14:25:00,2,"CGK, KUL, DXB, JFK",28H 10M,20584615.38,2023-08-09
1,BOOKING.COM,,CGK,JFK,EMIRATES AIRLINE,"TK509, TK11",ECONOMY,09:15:00,22:50:00,1,"CGK, IST, JFK",24H 35M,25661538.46,2023-08-09
1,BOOKING.COM,,CGK,JFK,EMIRATES AIRLINE,"MH722, EK343, EK201",ECONOMY,18:25:00,14:25:00,2,"CGK, KUL, DXB, JFK",31H 00M,19815384.62,2023-08-09
1,BOOKING.COM,,CGK,JFK,EMIRATES AIRLINE,"QZ208, EK347, EK203",ECONOMY,11:45:00,08:50:00,2,"CGK, KUL, DXB, JFK",32H 05M,19384615.38,2023-08-09
1,BOOKING.COM,,CGK,JFK,EMIRATES AIRLINE,"QG502, EK347, EK203",ECONOMY,11:30:00,08:50:00,2,"CGK, KUL, DXB, JFK",32H 20M,19492307.69,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"MH720, MH160, MH9065",ECONOMY,16:05:00,15:20:00,2,"CGK, KUL, DOH, JFK",34H 15M,20538461.54,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"MH710, MH160, MH9065",ECONOMY,11:10:00,15:20:00,2,"CGK, KUL, DOH, JFK",39H 10M,20538461.54,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"QZ264, MH620, EK347, EK203",ECONOMY,11:10:00,08:50:00,3,"CGK, SIN, KUL, DXB, JFK",32H 40M,21507692.31,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"6E1602, 6E1511, TK763, TK1",ECONOMY,17:05:00,17:50:00,3,"CGK, BOM, DXB, IST, JFK",35H 45M,20138461.54,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"MH710, MH164, MH9065",ECONOMY,11:10:00,15:20:00,2,"CGK, KUL, DOH, JFK",39H 10M,20861538.46,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"TR277, MH620, EK347, EK203",ECONOMY,11:50:00,08:50:00,3,"CGK, SIN, KUL, DXB, JFK",32H 00M,21969230.77,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"EK359, EK203",ECONOMY,00:40:00,08:50:00,1,"CGK, DXB, JFK",43H 10M,21569230.77,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"MH710, EK347, EK205",ECONOMY,11:10:00,18:55:00,2,"CGK, KUL, DXB, JFK",42H 45M,19815384.62,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"MH720, MH164, MH9327",ECONOMY,16:05:00,22:30:00,2,"CGK, KUL, DOH, JFK",41H 25M,20538461.54,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"MH710, EK343, EK205",ECONOMY,11:10:00,18:55:00,2,"CGK, KUL, DXB, JFK",42H 45M,20123076.92,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"EY7100, EY473, EY103",ECONOMY,14:40:00,09:30:00,2,"CGK, SIN, AUH, JFK",29H 50M,26476923.08,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"6E1602, 6E17, 6E4234",ECONOMY,17:05:00,17:50:00,2,"CGK, BOM, IST, JFK",35H 45M,23215384.62,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"OZ762, OZ222",ECONOMY,21:50:00,11:05:00,1,"CGK, ICN, JFK",24H 15M,34723076.92,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"3K202, MH620, EK347, EK203",ECONOMY,09:40:00,08:50:00,3,"CGK, SIN, KUL, DXB, JFK",34H 10M,22000000.0,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"QZ266, MH620, EK347, EK203",ECONOMY,08:25:00,08:50:00,3,"CGK, SIN, KUL, DXB, JFK",35H 25M,21507692.31,2023-08-09
1,BOOKING.COM,,CGK,JFK,MALAYSIA AIRLINES,"QZ266, MH606, EK347, EK203",ECONOMY,08:25:00,08:50:00,3,"CGK, SIN, KUL, DXB, JFK",35H 25M,21507692.31,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","MH722, EK345, EK205",ECONOMY,18:25:00,18:55:00,2,"CGK, KUL, DXB, JFK",59H 30M,20200000.0,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","QZ266, MH606, EK347, EK203",ECONOMY,18:25:00,18:55:00,2,"CGK, SIN, KUL, DXB, JFK",59H 30M,20200000.0,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","CX776, CX844",ECONOMY,14:20:00,06:00:00,1,"CGK, HKG, JFK",26H 40M,40892307.69,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","AA8152, AA8125, AA2518",ECONOMY,18:45:00,21:37:00,2,"CGK, DOH, ORD, JFK",37H 52M,28938461.54,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","QR957, QR9, QR2233",ECONOMY,18:45:00,13:24:00,2,"CGK, DOH, LHR, JFK",29H 39M,34769230.77,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","CX718, CX840","PREMIUM ECONOMY, ECONOMY",08:10:00,20:25:00,1,"CGK, HKG, JFK",23H 15M,46446153.85,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","SQ965, SQ26",ECONOMY,19:00:00,11:10:00,1,"CGK, SIN, JFK",27H 10M,41446153.85,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","KE628, OZ222",ECONOMY,21:45:00,11:05:00,1,"CGK, ICN, JFK",24H 20M,45307692.31,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","EY475, EY101",BUSINESS,17:05:00,16:00:00,1,"CGK, AUH, JFK",33H 55M,35323076.92,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","MH720, MH2, MH9393",ECONOMY,16:05:00,13:24:00,2,"CGK, KUL, LHR, JFK",32H 19M,33369230.77,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","AA8152, AA8136, AA1357",ECONOMY,18:45:00,23:17:00,2,"CGK, DOH, MIA, JFK",39H 32M,28938461.54,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","KE628, KE81",ECONOMY,21:45:00,11:20:00,1,"CGK, ICN, JFK",24H 35M,45769230.77,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","SQ963, SQ26",ECONOMY,18:05:00,11:10:00,1,"CGK, SIN, JFK",28H 05M,41446153.85,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","QR957, QR11, QR2233",ECONOMY,18:45:00,13:24:00,2,"CGK, DOH, LHR, JFK",29H 39M,36769230.77,2023-08-09
1,BOOKING.COM,,CGK,JFK,"MALAYSIA AIRLINES, EMIRATES AIRLINE","QR955, QR7, QR2235",ECONOMY,01:10:00,19:50:00,2,"CGK, DOH, LHR, JFK",29H 40M,36769230.77,2023-08-09
1,BOOKING.COM,,CGK,JFK,QATAR AIRWAYS,"QR955, QR705",ECONOMY,01:10:00,22:30:00,1,"CGK, DOH, JFK",32H 20M,40953846.15,2023-08-09
